+-----------------+----------------+-----------------+--------------+------------------+
| follows.subject | follows.object | friendOf.object | likes.object | hasReview.object |
+-----------------+----------------+-----------------+--------------+------------------+
|      User17     |     User20     |      User9      |    User20    |     Review24     |
|      User17     |     User20     |      User9      |    User20    |     Review48     |
|      User17     |     User20     |      User9      |    User20    |    Review118     |
|      User17     |     User20     |      User9      |    User20    |    Review215     |
|      User17     |     User20     |      User9      |    User20    |    Review247     |
|      User17     |     User20     |      User9      |    User20    |    Review253     |
|      User17     |     User20     |      User9      |    User20    |    Review282     |
|      User17     |     User20     |      User9      |    User20    |    Review291     |
|      User17     |     User20     |      User9      |    User20    |    Review432     |
|      User17     |     User20     |      User9      |    User20    |    Review464     |
|      User17     |     User20     |      User9      |    User20    |    Review478     |
|      User17     |     User20     |      User9      |    User20    |    Review490     |
|      User17     |     User20     |      User9      |    User20    |    Review506     |
|      User17     |     User20     |      User9      |    User20    |    Review577     |
|      User17     |     User20     |      User9      |    User20    |    Review596     |
|      User17     |     User20     |      User9      |    User20    |    Review606     |
|      User17     |     User20     |      User9      |    User20    |    Review609     |
|      User17     |     User20     |      User9      |    User20    |    Review829     |
|      User17     |     User20     |      User9      |    User20    |    Review860     |
|      User17     |     User20     |      User9      |    User20    |    Review981     |
|      User17     |     User20     |      User9      |    User20    |    Review1000    |
|      User17     |     User20     |      User9      |    User20    |    Review1032    |
|      User17     |     User20     |      User9      |    User20    |    Review1045    |
|      User17     |     User20     |      User9      |    User20    |    Review1074    |
|      User17     |     User20     |      User9      |    User20    |    Review1086    |
|      User17     |     User20     |      User9      |    User20    |    Review1107    |
|      User17     |     User20     |      User9      |    User20    |    Review1144    |
|      User17     |     User20     |      User9      |    User20    |    Review1158    |
|      User17     |     User20     |      User9      |    User20    |    Review1183    |
|      User17     |     User20     |      User9      |    User20    |    Review1186    |
|      User17     |     User20     |      User9      |    User20    |    Review1227    |
|      User17     |     User20     |      User9      |    User20    |    Review1230    |
|      User17     |     User20     |      User9      |    User20    |    Review1242    |
|      User17     |     User20     |      User9      |    User20    |    Review1253    |
|      User17     |     User20     |      User9      |    User20    |    Review1292    |
|      User17     |     User20     |      User9      |    User20    |    Review1344    |
|      User17     |     User20     |      User9      |    User20    |    Review1392    |
|      User17     |     User20     |      User9      |    User20    |    Review1452    |
|      User17     |     User20     |      User9      |    User20    |    Review1458    |
|     User143     |     User15     |      User13     |    User15    |    Review133     |
|     User143     |     User15     |      User13     |    User15    |    Review181     |
|     User143     |     User15     |      User13     |    User15    |    Review199     |
|     User143     |     User15     |      User13     |    User15    |    Review229     |
|     User143     |     User15     |      User13     |    User15    |    Review446     |
|     User143     |     User15     |      User13     |    User15    |    Review472     |
|     User143     |     User15     |      User13     |    User15    |    Review562     |
|     User143     |     User15     |      User13     |    User15    |    Review603     |
|     User143     |     User15     |      User13     |    User15    |    Review651     |
|     User143     |     User15     |      User13     |    User15    |    Review727     |
|     User143     |     User15     |      User13     |    User15    |    Review813     |
|     User143     |     User15     |      User13     |    User15    |    Review825     |
|     User143     |     User15     |      User13     |    User15    |    Review935     |
|     User143     |     User15     |      User13     |    User15    |    Review946     |
|     User143     |     User15     |      User13     |    User15    |    Review1009    |
|     User143     |     User15     |      User13     |    User15    |    Review1030    |
|     User143     |     User15     |      User13     |    User15    |    Review1059    |
|     User143     |     User15     |      User13     |    User15    |    Review1123    |
|     User143     |     User15     |      User13     |    User15    |    Review1127    |
|     User143     |     User15     |      User13     |    User15    |    Review1130    |
|     User143     |     User15     |      User13     |    User15    |    Review1139    |
|     User143     |     User15     |      User13     |    User15    |    Review1236    |
|     User143     |     User15     |      User13     |    User15    |    Review1276    |
|     User143     |     User15     |      User13     |    User15    |    Review1300    |
|     User143     |     User15     |      User13     |    User15    |    Review1360    |
|      User6      |     User47     |      User15     |    User47    |     Review96     |
|      User6      |     User47     |      User15     |    User47    |    Review283     |
|      User6      |     User47     |      User15     |    User47    |    Review354     |
|      User6      |     User47     |      User15     |    User47    |    Review369     |
|      User6      |     User47     |      User15     |    User47    |    Review373     |
|      User6      |     User47     |      User15     |    User47    |    Review380     |
|      User6      |     User47     |      User15     |    User47    |    Review390     |
|      User6      |     User47     |      User15     |    User47    |    Review394     |
|      User6      |     User47     |      User15     |    User47    |    Review515     |
|      User6      |     User47     |      User15     |    User47    |    Review571     |
|      User6      |     User47     |      User15     |    User47    |    Review574     |
|      User6      |     User47     |      User15     |    User47    |    Review613     |
|      User6      |     User47     |      User15     |    User47    |    Review637     |
|      User6      |     User47     |      User15     |    User47    |    Review661     |
|      User6      |     User47     |      User15     |    User47    |    Review729     |
|      User6      |     User47     |      User15     |    User47    |    Review774     |
|      User6      |     User47     |      User15     |    User47    |    Review837     |
|      User6      |     User47     |      User15     |    User47    |    Review843     |
|      User6      |     User47     |      User15     |    User47    |    Review865     |
|      User6      |     User47     |      User15     |    User47    |    Review1043    |
|      User6      |     User47     |      User15     |    User47    |    Review1216    |
|      User6      |     User47     |      User15     |    User47    |    Review1223    |
|      User6      |     User47     |      User15     |    User47    |    Review1243    |
|      User6      |     User47     |      User15     |    User47    |    Review1306    |
|      User6      |     User47     |      User15     |    User47    |    Review1316    |
|      User6      |     User47     |      User15     |    User47    |    Review1356    |
|      User6      |     User47     |      User15     |    User47    |    Review1399    |
|      User6      |     User47     |      User15     |    User47    |    Review1498    |
|      User21     |     User99     |      User59     |    User99    |     Review29     |
|      User21     |     User99     |      User59     |    User99    |     Review69     |
|      User21     |     User99     |      User59     |    User99    |    Review116     |
|      User21     |     User99     |      User59     |    User99    |    Review120     |
|      User21     |     User99     |      User59     |    User99    |    Review168     |
|      User21     |     User99     |      User59     |    User99    |    Review171     |
|      User21     |     User99     |      User59     |    User99    |    Review194     |
|      User21     |     User99     |      User59     |    User99    |    Review242     |
|      User21     |     User99     |      User59     |    User99    |    Review299     |
|      User21     |     User99     |      User59     |    User99    |    Review352     |
|      User21     |     User99     |      User59     |    User99    |    Review362     |
|      User21     |     User99     |      User59     |    User99    |    Review388     |
|      User21     |     User99     |      User59     |    User99    |    Review418     |
|      User21     |     User99     |      User59     |    User99    |    Review442     |
|      User21     |     User99     |      User59     |    User99    |    Review521     |
|      User21     |     User99     |      User59     |    User99    |    Review522     |
|      User21     |     User99     |      User59     |    User99    |    Review641     |
|      User21     |     User99     |      User59     |    User99    |    Review644     |
|      User21     |     User99     |      User59     |    User99    |    Review647     |
|      User21     |     User99     |      User59     |    User99    |    Review735     |
|      User21     |     User99     |      User59     |    User99    |    Review745     |
|      User21     |     User99     |      User59     |    User99    |    Review748     |
|      User21     |     User99     |      User59     |    User99    |    Review781     |
|      User21     |     User99     |      User59     |    User99    |    Review782     |
|      User21     |     User99     |      User59     |    User99    |    Review795     |
|      User21     |     User99     |      User59     |    User99    |    Review1013    |
|      User21     |     User99     |      User59     |    User99    |    Review1034    |
|      User21     |     User99     |      User59     |    User99    |    Review1037    |
|      User21     |     User99     |      User59     |    User99    |    Review1057    |
|      User21     |     User99     |      User59     |    User99    |    Review1068    |
|      User21     |     User99     |      User59     |    User99    |    Review1348    |
|      User21     |     User99     |      User59     |    User99    |    Review1423    |
|      User21     |     User99     |      User59     |    User99    |    Review1437    |
|      User21     |    User122     |      User3      |   User122    |    Review165     |
|      User21     |    User122     |      User3      |   User122    |    Review196     |
|      User21     |    User122     |      User3      |   User122    |    Review237     |
|      User21     |    User122     |      User3      |   User122    |    Review307     |
|      User21     |    User122     |      User3      |   User122    |    Review389     |
|      User21     |    User122     |      User3      |   User122    |    Review413     |
|      User21     |    User122     |      User3      |   User122    |    Review415     |
|      User21     |    User122     |      User3      |   User122    |    Review417     |
