+-----------------+----------------+-----------------+--------------+------------------+
| follows.subject | follows.object | friendOf.object | likes.object | hasReview.object |
+-----------------+----------------+-----------------+--------------+------------------+
|      12699      |      2745      |      11494      |     2745     |      12900       |
|      12699      |      2745      |      11494      |     2745     |      11291       |
|      12699      |      2745      |      11494      |     2745     |       615        |
|      12699      |      2745      |      11494      |     2745     |       2513       |
|      12699      |      2745      |      11494      |     2745     |      13609       |
|      12699      |      2745      |      11494      |     2745     |      11018       |
|      12699      |      2745      |      11494      |     2745     |       1222       |
|      12699      |      2745      |      11494      |     2745     |      10315       |
|      12699      |      2745      |      11494      |     2745     |       4208       |
|      12699      |      2745      |      11494      |     2745     |      10436       |
|      12699      |      2745      |      11494      |     2745     |      11843       |
|      12699      |      2745      |      11494      |     2745     |       9078       |
|      12699      |      2745      |      11494      |     2745     |       9070       |
|      12699      |      2745      |      11494      |     2745     |       5747       |
|      12699      |      2745      |      11494      |     2745     |       5361       |
|      12699      |      2745      |      11494      |     2745     |       4699       |
|      12699      |      2745      |      11494      |     2745     |       7902       |
|      12699      |      2745      |      11494      |     2745     |      11766       |
|      12699      |      2745      |      11494      |     2745     |       231        |
|      12699      |      2745      |      11494      |     2745     |       8742       |
|      12699      |      2745      |      11494      |     2745     |       8645       |
|      12699      |      2745      |      11494      |     2745     |      12602       |
|      12699      |      2745      |      11494      |     2745     |      11775       |
|      12699      |      2745      |      11494      |     2745     |       493        |
|      12699      |      2745      |      11494      |     2745     |       8346       |
|      12699      |      2745      |      11494      |     2745     |       4179       |
|      12699      |      2745      |      11494      |     2745     |       8884       |
|      12699      |      2745      |      11494      |     2745     |      12232       |
|      12699      |      2745      |      11494      |     2745     |       4175       |
|      12699      |      2745      |      11494      |     2745     |      12585       |
|      12699      |      2745      |      11494      |     2745     |       2287       |
|      12699      |      2745      |      11494      |     2745     |      11824       |
|      12699      |      2745      |      11494      |     2745     |      12379       |
|      12699      |      2745      |      11494      |     2745     |       3713       |
|      12699      |      2745      |      11494      |     2745     |      10478       |
|      12699      |      2745      |      11494      |     2745     |      12690       |
|       459       |       95       |      11699      |      95      |       922        |
|       459       |       95       |      11699      |      95      |       8640       |
|       459       |       95       |      11699      |      95      |       3541       |
|       459       |       95       |      11699      |      95      |       9231       |
|       459       |       95       |      11699      |      95      |       2018       |
|       459       |       95       |      11699      |      95      |       1543       |
|       459       |       95       |      11699      |      95      |       8434       |
|       459       |       95       |      11699      |      95      |      13073       |
|       459       |       95       |      11699      |      95      |       9205       |
|       459       |       95       |      11699      |      95      |      10945       |
|       459       |       95       |      11699      |      95      |       281        |
|       459       |       95       |      11699      |      95      |       3143       |
|       459       |       95       |      11699      |      95      |       5488       |
|       459       |       95       |      11699      |      95      |       3393       |
|       459       |       95       |      11699      |      95      |       3782       |
|       459       |       95       |      11699      |      95      |       165        |
|       459       |       95       |      11699      |      95      |      12884       |
|       459       |       95       |      11699      |      95      |      13017       |
|       459       |       95       |      11699      |      95      |      12537       |
|       459       |       95       |      11699      |      95      |      12472       |
|       459       |       95       |      11699      |      95      |       5103       |
|       459       |       95       |      11699      |      95      |      11312       |
|       459       |       95       |      11699      |      95      |      12149       |
|       459       |       95       |      11699      |      95      |       7752       |
|       459       |       95       |      11699      |      95      |       7695       |
|       459       |       95       |      11699      |      95      |       2321       |
|       459       |       95       |      11699      |      95      |      13633       |
|       459       |       95       |      11699      |      95      |       7218       |
|       459       |       95       |      11699      |      95      |       9536       |
|       459       |       95       |      11699      |      95      |      11803       |
|       459       |       95       |      11699      |      95      |       6187       |
|       459       |       95       |      11699      |      95      |       5949       |
|       459       |       95       |      11699      |      95      |      10833       |
|       459       |       95       |      11699      |      95      |       2897       |
|       459       |       95       |      11699      |      95      |      10013       |
|       459       |       95       |      11699      |      95      |      10480       |
|       459       |       95       |      11699      |      95      |      10635       |
|       459       |       95       |      11699      |      95      |       6237       |
|       6659      |      5238      |       4072      |     5238     |       7587       |
|       6659      |      5238      |       4072      |     5238     |        13        |
|       6659      |      5238      |       4072      |     5238     |      13780       |
|       6659      |      5238      |       4072      |     5238     |       8391       |
|       6659      |      5238      |       4072      |     5238     |       8823       |
|       6659      |      5238      |       4072      |     5238     |       8430       |
|       6659      |      5238      |       4072      |     5238     |       2858       |
|       6659      |      5238      |       4072      |     5238     |      13868       |
|       6659      |      5238      |       4072      |     5238     |       774        |
|       6659      |      5238      |       4072      |     5238     |      11792       |
|       6659      |      5238      |       4072      |     5238     |       5419       |
|       6659      |      5238      |       4072      |     5238     |      13765       |
|       6659      |      5238      |       4072      |     5238     |      11293       |
|       6659      |      5238      |       4072      |     5238     |       4371       |
|       6659      |      5238      |       4072      |     5238     |      10736       |
|       6659      |      5238      |       4072      |     5238     |        48        |
|       6659      |      5238      |       4072      |     5238     |       8133       |
|       6659      |      5238      |       4072      |     5238     |       5043       |
|       6659      |      5238      |       4072      |     5238     |       429        |
|       6659      |      5238      |       4072      |     5238     |      11143       |
|       6659      |      5238      |       4072      |     5238     |       8621       |
|       6659      |      5238      |       4072      |     5238     |      12325       |
|       6659      |      5238      |       4072      |     5238     |       5818       |
|       6659      |      5238      |       4072      |     5238     |      12084       |
|       6659      |      5238      |       4072      |     5238     |       8120       |
|       6659      |      5238      |       4072      |     5238     |       139        |
|       6659      |      5238      |       4072      |     5238     |       4260       |
|       6659      |      5238      |       4072      |     5238     |      11330       |
|       6659      |      5238      |       4072      |     5238     |       3274       |
|       6659      |      5238      |       4072      |     5238     |       1625       |
|       6659      |      5238      |       4072      |     5238     |       5175       |
|       4913      |      2349      |       4385      |     2349     |      13008       |
|       4913      |      2349      |       4385      |     2349     |      10251       |
|       4913      |      2349      |       4385      |     2349     |       7129       |
|       4913      |      2349      |       4385      |     2349     |      11886       |
|       4913      |      2349      |       4385      |     2349     |       2017       |
|       4913      |      2349      |       4385      |     2349     |      12112       |
|       4913      |      2349      |       4385      |     2349     |       2600       |
|       4913      |      2349      |       4385      |     2349     |       3516       |
|       4913      |      2349      |       4385      |     2349     |       8545       |
|       4913      |      2349      |       4385      |     2349     |       864        |
|       4913      |      2349      |       4385      |     2349     |       5042       |
|       4913      |      2349      |       4385      |     2349     |      12975       |
|       4913      |      2349      |       4385      |     2349     |      12594       |
|       4913      |      2349      |       4385      |     2349     |       9787       |
|       4913      |      2349      |       4385      |     2349     |       8481       |
|       4913      |      2349      |       4385      |     2349     |       4022       |
|       4913      |      2349      |       4385      |     2349     |      11409       |
|       4913      |      2349      |       4385      |     2349     |      11954       |
|       4913      |      2349      |       4385      |     2349     |       7098       |
|       4913      |      2349      |       4385      |     2349     |       5854       |
|       4913      |      2349      |       4385      |     2349     |       276        |
|       4913      |      2349      |       4385      |     2349     |       5825       |
|       4913      |      2349      |       4385      |     2349     |       2623       |
|       677       |      537       |       677       |     537      |      12859       |
|       677       |      537       |       677       |     537      |       7406       |
|       677       |      537       |       677       |     537      |       2216       |
|       677       |      537       |       677       |     537      |       7416       |
|       677       |      537       |       677       |     537      |       9802       |
|       677       |      537       |       677       |     537      |       1932       |
|       677       |      537       |       677       |     537      |      10916       |
|       677       |      537       |       677       |     537      |       1792       |
|       677       |      537       |       677       |     537      |       7649       |
|       677       |      537       |       677       |     537      |       4058       |
|       677       |      537       |       677       |     537      |       7890       |
|       677       |      537       |       677       |     537      |       8301       |
|       677       |      537       |       677       |     537      |       6092       |
|       677       |      537       |       677       |     537      |       2529       |
|       677       |      537       |       677       |     537      |       7033       |
|       677       |      537       |       677       |     537      |      10291       |
|       677       |      537       |       677       |     537      |      10901       |
|       677       |      537       |       677       |     537      |       9833       |
|       677       |      537       |       677       |     537      |      10145       |
|       677       |      537       |       677       |     537      |       5031       |
|       677       |      537       |       677       |     537      |      12082       |
|       677       |      537       |       677       |     537      |       7172       |
|       677       |      537       |       677       |     537      |       1704       |
|       677       |      537       |       677       |     537      |       9118       |
|       677       |      537       |       677       |     537      |       1132       |
|       677       |      537       |       677       |     537      |       7276       |
|       677       |      537       |       677       |     537      |       7545       |
|       677       |      537       |       677       |     537      |       7884       |
|       677       |      537       |       677       |     537      |       1522       |
|       677       |      537       |       677       |     537      |       5478       |
|       677       |      537       |       677       |     537      |       7029       |
|       677       |      537       |       677       |     537      |       7802       |
|       677       |      537       |       677       |     537      |       8303       |
|       677       |      537       |       677       |     537      |      13260       |
|       677       |      537       |       677       |     537      |       5002       |
|       677       |      537       |       677       |     537      |       3487       |
|       677       |      537       |       677       |     537      |      10068       |
|       677       |      537       |       677       |     537      |      11020       |
|       677       |      537       |       677       |     537      |       4701       |
